country_code_3,carbon_leakage_risk_score,leakage_index,carbon_intensity,Electricity_Access_Pct,PM25_Exposure_Micrograms,CO2_Per_Capita_Tonnes,EPI_Master_Score,Biodiversity_Habitat_Score,Public_Environmental_Priority_Avg,Trust_In_Government_Avg
AFG,,,,85.3,46.09,0.25,31.0,31.7,,
AGO,-7.990419278214671,-30.654150907795007,0.260663533048074,51.1,25.15,0.59,40.1,41.5,,
ALB,5.628672780510081,20.649255322643352,0.272584782964926,100.0,15.71,1.59,52.2,50.3,,
AND,,,,100.0,9.08,5.18,,,1.343,2.558
ARE,-4.882049277096853,-11.126672055979911,0.438769944196661,100.0,36.31,20.13,51.6,59.0,,
ARG,-0.9383669962521828,-2.9887881714216493,0.313962362814705,100.0,14.91,3.74,47.0,34.7,1.579,2.921
ARM,7.080163994251093,15.41499137483272,0.459303792139029,100.0,30.58,2.5,44.9,47.6,1.521,2.897
ASM,,,,,6.72,,,,,
ATG,7.350442961423726,35.50857333111378,0.207004739190212,100.0,19.7,7.09,55.6,52.5,,
AUS,-0.5821965814178712,-2.53904633767346,0.229297343959205,100.0,8.25,14.48,63.1,55.2,1.326,2.819
AUT,-0.0506897196038632,-0.3684515969993547,0.137574975971544,100.0,10.93,6.18,68.9,74.3,,
AZE,-4.8010004491656755,-7.395458179314056,0.649182286311161,100.0,21.73,3.85,40.5,36.7,,
BDI,10.076003005195057,39.26231685037919,0.256632919641311,11.6,29.65,0.07,33.5,51.6,,
BEL,-0.5210549717811405,-3.2123308169023117,0.162204642510512,100.0,11.22,7.28,66.8,66.2,,
BEN,2.496588520009938,6.786874180778825,0.367855429982856,57.0,51.05,0.42,37.8,63.9,,
BES,,,,,,4.95,,,,
BFA,1.2217138220588213,3.3935170193901696,0.36001405476327,21.7,58.47,0.28,42.2,73.3,,
BGD,1.689749541150638,4.584338926788368,0.368591757314597,99.5,42.38,0.62,28.1,29.1,1.524,1.893
BGR,3.3647787307713335,6.419993437788246,0.524109372287853,100.0,17.15,4.68,56.2,69.2,,
BHR,-16.812604889821674,-18.157936375285523,0.925909450410072,100.0,58.5,24.27,35.3,25.8,,
BHS,2.8898032579131425,26.994593502096915,0.107051186293606,100.0,18.94,7.65,55.9,46.4,,
BIH,23.52091681751693,24.54540183175529,0.958261632005024,100.0,26.6,6.14,46.0,45.8,,
