country_code_3,carbon_leakage_risk_score,leakage_index,carbon_intensity,Electricity_Access_Pct,PM25_Exposure_Micrograms,CO2_Per_Capita_Tonnes,EPI_Master_Score,Biodiversity_Habitat_Score,Public_Environmental_Priority_Avg,Trust_In_Government_Avg,score_distributional,score_spatial,score_institutional,score_scale,overall_contradiction_score,country_name,year,transition_capacity_score,v2x_partipdem,v2x_delibdem,v2x_cspart,v2xeg_eqaccess,v2x_libdem,stress_absorption_gap,stress_capacity_quadrant
AFG,2.027031470861436,,0.4219356859792352,85.3,46.09,0.25,31.0,31.7,,2.667892307692308,0.1505391069217616,0.1503301266345136,0.0189300130231717,0.1449377648258243,0.1161842528513177,Afghanistan,2025.0,0.03313197309345976,0.06489668000101918,0.013772579417260707,0.043678160919540236,0.0112313451971896,0.020295495169355388,0.08305227975785794,Low Stress / Low Capacity
AGO,-7.990419278214671,-30.654150907795007,0.260663533048074,51.1,25.15,0.59,40.1,41.5,,2.667892307692308,0.5038128825576778,0.2906726330178216,0.1422003957124996,0.1167618195899776,0.2633619327194941,Angola,2025.0,0.2636546546986475,0.13114378169032026,0.19948323990126188,0.44214559386973185,0.4327914252012924,0.18433377831074507,-0.0002927219791534208,High Stress / Low Capacity
ALB,5.628672780510081,20.649255322643352,0.272584782964926,100.0,15.71,1.59,52.2,50.3,,2.667892307692308,0.0373605046094128,0.2999746387090672,0.0253902151138147,0.2773230423044506,0.1600121001841863,Albania,2025.0,0.3573778634680622,0.00029301602670267783,0.2721526287863058,0.6076628352490422,0.6861377506538797,0.43208815077946466,-0.19736576328387592,Low Stress / Low Capacity
AND,2.027031470861436,,0.4219356859792352,100.0,9.08,5.18,,47.477777777777774,1.343,2.558,0.1244541484716157,0.4173787887905958,0.0771356844703687,0.1449377648258243,0.1909765966396011,,,,,,,,,,No data
ARE,-4.882049277096853,-11.126672055979911,0.438769944196661,100.0,36.31,20.13,51.6,59.0,,2.667892307692308,0.4871421639980591,0.0639620354370311,0.1039501492999421,0.0499912755734346,0.1762614060771167,United Arab Emirates,2025.0,0.13472952421080744,0.039417025505134144,0.09451634484508731,0.2786717752234994,0.21637007026001334,0.08704210693033465,0.04153188186630927,Low Stress / Low Capacity
ARG,-0.9383669962521828,-2.9887881714216493,0.313962362814705,100.0,14.91,3.74,47.0,34.7,1.579,2.921,0.0895196506550218,0.5020654407276539,0.0786403636511747,0.1721135430056912,0.2105847495098853,Argentina,2025.0,0.37015602453304897,0.5464621499732463,0.00040371882713913297,0.7220945083014049,0.0007384994102261655,0.5927325384075842,-0.15957127502316368,High Stress / Low Capacity
ARM,7.080163994251093,15.41499137483272,0.459303792139029,100.0,30.58,2.5,44.9,47.6,1.521,2.897,0.0594371664240659,0.1478606246614912,0.164601046638425,0.1850852349880555,0.1392460181780094,Armenia,2025.0,0.40705354589188797,0.40632405024587864,0.433640159641959,0.6699872286079183,0.0007897840914918713,0.41964386723080754,-0.26780752771387856,Low Stress / Low Capacity
ASM,2.027031470861436,,0.4219356859792352,87.99670833333333,6.72,4.587298578199053,,47.477777777777774,,2.667892307692308,0.0168095182048908,0.4467978862725206,0.0189300130231717,0.1449377648258243,0.1568687955816018,,,,,,,,,,No data
ATG,7.350442961423726,35.50857333111378,0.207004739190212,100.0,19.7,7.09,55.6,52.5,,2.667892307692308,0.1707908782144589,0.223142822754666,0.0465775685054821,0.3371797955744283,0.1944227662622588,,,,,,,,,,No data
AUS,-0.5821965814178712,-2.53904633767346,0.229297343959205,100.0,8.25,14.48,63.1,55.2,1.326,2.819,0.3500727802037845,0.3326240768919951,0.0289978178060674,0.2264193133027504,0.2345284970511493,Australia,2025.0,0.8877411381414909,0.8254643667031875,0.8892656931275519,0.9478927203065135,0.8994820247192163,0.8970518360974727,-0.6532126410903416,High Stress / High Capacity
AUT,-0.0506897196038632,-0.3684515969993547,0.137574975971544,100.0,10.93,6.18,68.9,74.3,,2.667892307692308,0.1487142163998058,0.0639942743661826,0.0444975443927674,0.2870440770837542,0.1360625280606275,Austria,2025.0,0.8285851493091873,0.7413815068667668,0.840819433870856,0.9029374201787995,0.8266577773219139,0.8563250899382311,-0.6925226212485598,Low Stress / High Capacity
AZE,-4.8010004491656755,-7.395458179314056,0.649182286311161,100.0,21.73,3.85,40.5,36.7,,2.667892307692308,0.0921882581271227,0.3924186934206792,0.102952797749547,0.0730814180946317,0.1651602918479951,Azerbaijan,2025.0,0.07068638745409178,0.054704818202665165,0.03914919140886335,0.08045977011494254,0.1476485973639674,0.059890942824173586,0.09447390439390332,Low Stress / Low Capacity
BDI,10.076003005195057,39.26231685037919,0.256632919641311,11.6,29.65,0.07,33.5,51.6,,2.667892307692308,0.9339756865906964,0.1101926598406106,0.08011712243535,0.3414559967427593,0.3664353664023541,Burundi,2025.0,0.20802352398261365,0.18082910795729606,0.07606062703301265,0.3205619412515965,0.5312580132314477,0.0,0.15841184241974043,High Stress / Low Capacity
BEL,-0.5210549717811405,-3.2123308169023117,0.162204642510512,100.0,11.22,7.28,66.8,66.2,,2.667892307692308,0.1754002911208151,0.1601329103585828,0.0502856541715954,0.2667330367082861,0.1631379730898198,Belgium,2025.0,0.8957082314013375,0.8063546258312736,0.8938796225805706,0.9673052362707536,0.9497410123596082,0.898183134601896,-0.7325702583115177,Low Stress / High Capacity
BEN,2.496588520009938,6.786874180778825,0.367855429982856,57.0,51.05,0.42,37.8,63.9,,2.667892307692308,0.4455692294120241,0.3080515650925473,0.0131518486385506,0.1826044569435073,0.2373442750216573,Benin,2025.0,0.3973029495167944,0.00028027619945473537,0.35058942948762306,0.6454661558109834,0.8379404072003692,0.36534153901848543,-0.1599586744951371,High Stress / Low Capacity
BES,2.027031470861436,,0.4219356859792352,87.99670833333333,24.339155555555553,4.95,,47.477777777777774,,2.667892307692308,0.0080103570743487,0.2271624393072308,0.0189300130231717,0.1449377648258243,0.0997601435576438,,,,,,,,,,No data
BFA,1.2217138220588213,3.3935170193901696,0.36001405476327,21.7,58.47,0.28,42.2,73.3,,2.667892307692308,0.8221157446302161,0.5163107488888315,0.0288399010017599,0.171540086671815,0.3847016202981556,Burkina Faso,2025.0,0.29630544602491427,0.13241776441511452,0.055297944494428666,0.6495530012771392,0.679983588901995,0.11645586804534246,0.08839617427324131,High Stress / Low Capacity
BGD,1.689749541150638,4.584338926788368,0.368591757314597,99.5,42.38,0.62,28.1,29.1,1.524,1.893,0.008542826456912,0.2285976495671384,0.4335107051601093,0.1722416713024781,0.2107232131216594,Bangladesh,2025.0,0.23925113642311308,0.12604785079114325,0.18333448681569658,0.7108556832694763,0.0004000205138725063,0.13116274860284635,-0.028527923301453678,High Stress / Low Capacity
BGR,3.3647787307713335,6.419993437788246,0.524109372287853,100.0,17.15,4.68,56.2,69.2,,2.667892307692308,0.1123241145075205,0.0492653822677292,0.0024682783162752,0.1011525874312013,0.0663025906306815,Bulgaria,2025.0,0.6431884453078531,0.5056947027798303,0.5466814312409162,0.8763729246487868,0.801015436689061,0.5644500757969998,-0.5768858546771716,Low Stress / High Capacity
BHR,-16.812604889821674,-18.157936375285523,0.925909450410072,100.0,58.5,24.27,35.3,25.8,,2.667892307692308,0.5875788452207665,0.0682906489911364,0.2507623665911064,0.3840636954280022,0.3226738890577529,Bahrain,2025.0,0.101235298839299,0.06871862817540193,0.0,0.2500638569604087,0.15687983999179447,0.070072629363984,0.2214385902184539,High Stress / Low Capacity
BHS,2.8898032579131425,26.994593502096915,0.107051186293606,100.0,18.94,7.65,55.9,46.4,,2.667892307692308,0.1843765162542454,0.3077399221107472,0.0083131194613812,0.3412269137410065,0.210414117891845,,,,,,,,,,No data
BIH,23.52091681751693,24.54540183175529,0.958261632005024,100.0,26.6,6.14,46.0,45.8,,2.667892307692308,0.1477438136826783,0.219641675048788,0.2455643716791562,0.0931865162798721,0.1765340941726236,Bosnia and Herzegovina,2025.0,0.4903330640229563,0.37957041302519934,0.3794264885689897,0.6761174968071519,0.7189599466639315,0.38344231508925947,-0.3137989698503327,Low Stress / High Capacity
BLR,6.1822301263832635,7.073286005576944,0.87402518737527,100.0,14.61,6.16,58.2,70.4,,2.667892307692308,0.148229015041242,0.0661499840954614,0.0322020505373701,0.0705056220711687,0.0792716679363105,Belarus,2025.0,0.16920027416534109,0.06871862817540193,0.03684222668235402,0.11417624521072799,0.7569106108005539,0.04292146525782293,-0.08992860622903058,Low Stress / Low Capacity
