geo_label,electricity_price_eur_kwh,period
Belgium,0.4058,2025-S2
Bulgaria,0.1136,2025-S2
Czechia,0.4686,2025-S2
Denmark,0.2323,2025-S2
Germany,0.4345,2025-S2
Estonia,0.2536,2025-S2
Ireland,0.3436,2025-S2
Greece,0.4147,2025-S2
Spain,0.3858,2025-S2
France,0.3519,2025-S2
Croatia,0.214,2025-S2
Italy,0.4082,2025-S2
Cyprus,0.6322,2025-S2
Latvia,0.3623,2025-S2
Lithuania,0.2013,2025-S2
Luxembourg,0.4579,2025-S2
Hungary,0.0751,2025-S2
Malta,0.2972,2025-S2
Netherlands,0.7844,2025-S2
Austria,0.3779,2025-S2
Poland,0.2108,2025-S2
Portugal,0.3007,2025-S2
Romania,0.2279,2025-S2
Slovenia,0.2472,2025-S2
Slovakia,0.2126,2025-S2
Finland,0.277,2025-S2
Sweden,0.3642,2025-S2
Liechtenstein,0.4849,2025-S2
Norway,0.4315,2025-S2
Bosnia and Herzegovina,0.2112,2025-S2
Montenegro,0.1219,2025-S2
Moldova,0.1904,2025-S2
North Macedonia,0.1824,2025-S2
Georgia,0.0469,2025-S2
Albania,0.0979,2025-S2
Serbia,0.2439,2025-S2
Türkiye,0.0495,2025-S2
