country_code_3,country_name,Emissions_Baseline_Year,CO2_Per_Capita_Tonnes
ABW,Aruba,2024,8.52
AFG,Afghanistan,2024,0.25
AGO,Angola,2024,0.59
AIA,Anguilla,2024,10.13
ALB,Albania,2024,1.59
AND,Andorra,2024,5.18
ARE,United Arab Emirates,2024,20.13
ARG,Argentina,2024,3.74
ARM,Armenia,2024,2.5
ATG,Antigua and Barbuda,2024,7.09
AUS,Australia,2024,14.48
AUT,Austria,2024,6.18
AZE,Azerbaijan,2024,3.85
BDI,Burundi,2024,0.07
BEL,Belgium,2024,7.28
BEN,Benin,2024,0.42
BES,Bonaire Sint Eustatius and Saba,2024,4.95
BFA,Burkina Faso,2024,0.28
BGD,Bangladesh,2024,0.62
BGR,Bulgaria,2024,4.68
BHR,Bahrain,2024,24.27
BHS,Bahamas,2024,7.65
BIH,Bosnia and Herzegovina,2024,6.14
BLR,Belarus,2024,6.16
BLZ,Belize,2024,1.91
BMU,Bermuda,2024,8.51
BOL,Bolivia,2024,2.31
BRA,Brazil,2024,2.28
BRB,Barbados,2024,4.83
BRN,Brunei,2024,26.05
BTN,Bhutan,2024,2.09
BWA,Botswana,2024,2.96
CAF,Central African Republic,2024,0.07
CAN,Canada,2024,13.42
CHE,Switzerland,2024,3.59
CHL,Chile,2024,3.98
CHN,China,2024,8.66
CIV,Cote d'Ivoire,2024,0.46
CMR,Cameroon,2024,0.33
COD,Democratic Republic of Congo,2024,0.05
COG,Congo,2024,1.4
COK,Cook Islands,2024,5.82
COL,Colombia,2024,1.75
COM,Comoros,2024,0.64
CPV,Cape Verde,2024,1.13
CRI,Costa Rica,2024,1.71
CUB,Cuba,2024,2.23
CUW,Curacao,2024,12.34
CYP,Cyprus,2024,5.37
CZE,Czechia,2024,7.04
DEU,Germany,2024,6.77
DJI,Djibouti,2024,0.48
DMA,Dominica,2024,2.58
DNK,Denmark,2024,4.75
DOM,Dominican Republic,2024,2.9
DZA,Algeria,2024,4.23
ECU,Ecuador,2024,2.54
EGY,Egypt,2024,2.22
ERI,Eritrea,2024,0.21
ESP,Spain,2024,4.6
EST,Estonia,2024,6.11
ETH,Ethiopia,2024,0.14
FIN,Finland,2024,5.3
FJI,Fiji,2024,1.56
FRA,France,2024,3.97
FRO,Faroe Islands,2024,13.09
FSM,Micronesia (country),2024,1.33
GAB,Gabon,2024,2.13
GBR,United Kingdom,2024,4.53
GEO,Georgia,2024,3.09
GHA,Ghana,2024,0.61
GIN,Guinea,2024,0.27
GMB,Gambia,2024,0.29
