country_code_3,country_name,Energy_Access_Baseline_Year,Electricity_Access_Pct
SSD,South Sudan,2023,5.4
BDI,Burundi,2023,11.6
TCD,Chad,2023,12.0
MWI,Malawi,2023,15.6
CAF,Central African Republic,2023,17.6
NER,Niger,2023,20.1
PNG,Papua New Guinea,2023,20.5
BFA,Burkina Faso,2023,21.7
COD,"Congo, Dem. Rep.",2023,22.1
LBR,Liberia,2023,32.5
SLE,Sierra Leone,2023,35.5
MOZ,Mozambique,2023,36.0
MDG,Madagascar,2023,39.4
GNB,Guinea-Bissau,2023,40.5
LIC,Low income,2023,45.27
TZA,Tanzania,2023,48.3
SOM,"Somalia, Fed. Rep.",2023,50.3
MRT,Mauritania,2023,50.3
HPC,Heavily indebted poor countries (HIPC),2023,50.53
AFE,Africa Eastern and Southern,2023,50.67
GIN,Guinea,2023,51.1
ZMB,Zambia,2023,51.1
AGO,Angola,2023,51.1
COG,"Congo, Rep.",2023,51.3
HTI,Haiti,2023,51.3
UGA,Uganda,2023,51.5
PRE,Pre-demographic dividend,2023,52.53
SSA,Sub-Saharan Africa (excluding high income),2023,53.01
TSS,Sub-Saharan Africa (IDA & IBRD countries),2023,53.26
SSF,Sub-Saharan Africa,2023,53.26
ERI,Eritrea,2023,54.4
MLI,Mali,2023,54.5
ETH,Ethiopia,2023,55.4
NAM,Namibia,2023,56.7
BEN,Benin,2023,57.0
AFW,Africa Western and Central,2023,57.07
LSO,Lesotho,2023,57.3
PRK,"Korea, Dem. People's Rep.",2023,57.5
LDC,Least developed countries: UN classification,2023,58.43
FCS,Fragile and conflict affected situations,2023,58.95
TGO,Togo,2023,59.2
NGA,Nigeria,2023,61.2
VUT,Vanuatu,2023,61.6
IDX,IDA only,2023,61.92
ZWE,Zimbabwe,2023,62.0
RWA,Rwanda,2023,63.9
DJI,Djibouti,2023,65.2
SDN,Sudan,2023,66.0
GNQ,Equatorial Guinea,2023,66.9
GMB,"Gambia, The",2023,66.9
