country_code_2,country,climate_seriousness_score,qc4_1_score,qc4_2_score,qc4_3_score,qc4_4_score,qc4_6_score,qc10_score,qc11_score,qc8_1_score,qc8_2_score,qc9_1_score,qc9_2_score,government_climate_action_score,qc12t_1_score,qc12t_3_score,qc12t_4_score,qc12t_5_score,climate_concern_index,climate_action_acceptance_index,climate_affordability_concern_index,climate_acceptance_index_raw,country_name_clean,climate_acceptance_index,climate_acceptance_rank
SE,SE - Sweden,0.7893814997263273,0.8184730538922156,0.7784158415841584,0.6798058252427185,0.8055867082035306,0.6105432372505544,0.8211907164480323,,0.9048508946322067,0.914037886340977,0.8858788480635551,0.878622754491018,0.12925252525252526,0.7522123893805309,0.3824975417895772,0.400196656833825,0.28220255653883974,0.7893814997263273,0.7693429747765896,0.34119960668633237,1.2175248678165846,Sweden,1.0,1
MT,MT - Malta,0.847442680776014,0.8985971943887775,0.8148648648648649,0.7666377440347072,0.7832622601279318,0.7959016393442624,0.9065863453815262,,0.94436,0.9498203592814372,0.9424750499001996,0.9464670658682635,0.14175869120654397,0.4642857142857143,0.42063492063492064,0.4781746031746032,0.4742063492063492,0.847442680776014,0.8028244298427171,0.47619047619047616,1.1740766344282547,Malta,0.9102901416145303,2
PT,PT - Portugal,0.8128479180583389,0.8266843783209351,0.7930181818181818,0.7896466431095406,0.7790792540792542,0.7818742724097788,0.7976955161626694,,0.8552390640895219,0.8580061037639878,0.8571486761710795,0.8613034623217922,0.13539978094194963,0.601,0.261,0.458,0.332,0.8128479180583389,0.7551412960205616,0.395,1.1729892140789004,Portugal,0.9080448874824658,3
CY,CY - Cyprus (Republic),0.8212944554892865,0.8711491935483872,0.8320421052631579,0.7235229759299782,0.7740677966101696,0.7151409978308026,0.8941478439425051,,0.927808764940239,0.9371656686626746,0.9324302788844622,0.9418725099601594,0.09121338912133892,0.5178571428571429,0.32341269841269843,0.42658730158730157,0.498015873015873,0.8212944554892865,0.7825514980701981,0.4623015873015873,1.141544366257897,Cyprus,0.8431190521841185,4
DK,DK - Denmark,0.7761077710977511,0.7713113006396588,0.7365095398428732,0.6615280898876404,0.7377620087336244,0.6684907834101382,0.8165778688524591,,0.891050505050505,0.8985192697768764,0.8657809330628803,0.8720447609359105,0.3486919831223629,0.61,0.381,0.449,0.316,0.7761077710977511,0.7425479216827138,0.3825,1.1361556927804648,Denmark,0.8319927739249932,5
FR,FR - France,0.8199732798931196,0.7950780437044745,0.734425087108014,0.6366354044548652,0.6804905239687848,0.5809059233449477,0.8137759336099585,,0.8156801661474559,0.8235908141962421,0.8127783558792925,0.8138090241343128,0.1440595111583422,0.4955134596211366,0.43768693918245266,0.5034895314057827,0.30807577268195413,0.8199732798931196,0.7033641396126614,0.40578265204386843,1.1175547674619124,France,0.7935864626429736,6
HU,HU - Hungary,0.803177691309987,0.7529633300297324,0.7145042194092828,0.6509969167523125,0.683195449844881,0.6368205128205128,0.7774045053868757,,0.8608644400785854,0.8687144259077527,0.8577843137254902,0.8696868884540118,0.17813492063492065,0.5170068027210885,0.5160349854227405,0.39844509232264336,0.4363459669582119,0.803177691309987,0.7254980658794388,0.4173955296404276,1.1112802275489981,Hungary,0.7806310892451519,7
HR,HR - Croatia,0.8006793776024546,0.7813320079522863,0.755046439628483,0.7112280701754387,0.7106995884773664,0.6567890870933893,0.8004581673306772,,0.8480757726819541,0.849940119760479,0.8510667996011965,0.84858,0.09552208835341365,0.5562130177514792,0.3905325443786982,0.504930966469428,0.40828402366863903,0.8006793776024546,0.729996801235954,0.45660749506903353,1.0740686837693751,Croatia,0.7037984527386623,8
ES,ES -Spain,0.8033935413245759,0.8287708333333333,0.7295838287752676,0.7381040462427746,0.7436618141097425,0.7163606194690266,0.8243279022403259,,0.8506625891946993,0.8571020408163266,0.8420470829068578,0.8497230769230769,0.1092842105263158,0.44236453201970444,0.3251231527093596,0.5310344827586206,0.3901477832512315,0.8033935413245759,0.7289859598950413,0.46059113300492605,1.071788368214691,Spain,0.6990901649779946,9
IT,IT - Italy,0.7890309188244291,0.7661027190332327,0.7361839323467231,0.7313333333333334,0.7458084449021628,0.5391692627206646,0.7384247258225324,,0.7992622133599202,0.8078642714570858,0.7937737737737738,0.78796,0.16587044534412956,0.55078125,0.3515625,0.5517578125,0.291015625,0.7890309188244291,0.6956855355624523,0.42138671875,1.0633297356368814,Italy,0.6816251802936268,10
