geo_label,gas_price_eur_kwh,period
Belgium,0.1017,2025-S2
Bulgaria,0.0542,2025-S2
Czechia,0.1619,2025-S2
Denmark,0.1133,2025-S2
Germany,0.1159,2025-S2
Estonia,0.0547,2025-S2
Ireland,0.1395,2025-S2
Greece,0.1214,2025-S2
Spain,0.1085,2025-S2
France,0.1514,2025-S2
Croatia,0.0626,2025-S2
Italy,0.1936,2025-S2
Latvia,0.2112,2025-S2
Lithuania,0.0829,2025-S2
Luxembourg,0.0737,2025-S2
Hungary,0.0271,2025-S2
Netherlands,0.1329,2025-S2
Austria,0.1197,2025-S2
Portugal,0.1166,2025-S2
Romania,0.0472,2025-S2
Slovenia,0.0686,2025-S2
Slovakia,0.1342,2025-S2
Sweden,0.7661,2025-S2
Liechtenstein,0.2582,2025-S2
Bosnia and Herzegovina,0.0429,2025-S2
Moldova,0.0834,2025-S2
North Macedonia,0.0956,2025-S2
Georgia,0.0135,2025-S2
