Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.7167282,-1.7059035,-1.9646115,-2.0924592,-1.9339966
Afghanistan,AFG,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.3026506,-1.40994469999999,-1.4229756,-1.43056079999999,-1.538435
Zimbabwe,ZWE,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.1252829,-1.0994958,-1.09976269999999,-0.988479599999999,-0.9876299
Zimbabwe,ZWE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.3302143,-1.32535009999999,-1.3307719,-1.2277201,-1.1780738
Zambia,ZMB,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.7343493,-0.7266708,-0.5899419,-0.5628206,-0.5330555
Zambia,ZMB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.6127925,-0.5122202,-0.45732,-0.465492099999999,-0.420661199999999
West Bank and Gaza,PSE,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.4497852,-0.6289954,-0.7155811,-1.04199169999999,-1.0985907
West Bank and Gaza,PSE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.1515086,-0.1524659,-0.1550172,-0.360597699999999,-0.4676244
Viet Nam,VNM,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.0679668,0.0482402,-0.1033176,-0.1794045,-0.0922968
Viet Nam,VNM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.235853099999999,-0.3447202,-0.347202499999999,-0.2794316,-0.2668063
Vanuatu,VUT,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.757826,-0.8022922,-0.802548399999999,-0.8432371,-0.8168523
Vanuatu,VUT,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.421942999999999,-0.4321259,-0.4178727,-0.410014799999999,-0.324751499999999
Uruguay,URY,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.7691696,0.8270962,0.8993588,0.8539851,0.6904799
Uruguay,URY,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6994509,0.7331802,0.7251419,0.737625,0.6468484
United Kingdom,GBR,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.3728014,1.3289695,1.2932604,1.1378943,1.1849099
United Kingdom,GBR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.6013639,1.600758,1.6491931,1.5889865,1.5112377
Tuvalu,TUV,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.571291099999999,-0.4276442,-0.4080989,-0.5905787,-0.6909856
Tuvalu,TUV,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.6850119,-0.5930428,-0.573895199999999,-0.6665338,-0.4022096
Cuba,CUB,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.1099187,-0.0976359,0.0198019,-0.0018924999999999,-0.2695183
