country_code_3,country_name,PM25_Exposure_Micrograms
AFG,Afghanistan,46.09
ALB,Albania,15.71
DZA,Algeria,25.55
ASM,American Samoa,6.72
AND,Andorra,9.08
AGO,Angola,25.15
ATG,Antigua and Barbuda,19.7
ARG,Argentina,14.91
ARM,Armenia,30.58
AUS,Australia,8.25
AUT,Austria,10.93
AZE,Azerbaijan,21.73
BHS,"Bahamas, The",18.94
BHR,Bahrain,58.5
BGD,Bangladesh,42.38
BRB,Barbados,23.73
BLR,Belarus,14.61
BEL,Belgium,11.22
BLZ,Belize,28.65
BEN,Benin,51.05
BMU,Bermuda,7.34
BTN,Bhutan,23.95
BOL,Bolivia,22.88
BIH,Bosnia and Herzegovina,26.6
BWA,Botswana,18.91
BRA,Brazil,12.18
BRN,Brunei Darussalam,7.6
BGR,Bulgaria,17.15
BFA,Burkina Faso,58.47
BDI,Burundi,29.65
CPV,Cabo Verde,42.32
KHM,Cambodia,24.14
CMR,Cameroon,39.81
CAN,Canada,6.57
CAF,Central African Republic,34.43
TCD,Chad,49.14
CHL,Chile,23.28
CHN,China,34.81
COL,Colombia,14.18
COM,Comoros,11.93
COD,"Congo, Dem. Rep.",26.65
COG,"Congo, Rep.",28.57
CRI,Costa Rica,14.31
CIV,Cote d'Ivoire,49.5
HRV,Croatia,16.12
CUB,Cuba,21.24
CYP,Cyprus,13.51
CZE,Czechia,14.11
DNK,Denmark,9.07
DJI,Djibouti,35.92
DMA,Dominica,20.67
DOM,Dominican Republic,19.83
ECU,Ecuador,16.66
EGY,"Egypt, Arab Rep.",54.86
SLV,El Salvador,20.03
GNQ,Equatorial Guinea,35.38
ERI,Eritrea,32.35
EST,Estonia,6.15
SWZ,Eswatini,18.78
ETH,Ethiopia,27.31
FJI,Fiji,12.42
FIN,Finland,4.9
FRA,France,9.6
GAB,Gabon,29.95
GMB,"Gambia, The",58.36
GEO,Georgia,17.04
DEU,Germany,10.29
GHA,Ghana,54.24
GRC,Greece,14.41
GRL,Greenland,6.56
GRD,Grenada,24.66
GUM,Guam,9.58
GTM,Guatemala,21.64
GIN,Guinea,43.77
GNB,Guinea-Bissau,50.21
GUY,Guyana,25.46
HTI,Haiti,21.35
HND,Honduras,20.31
HUN,Hungary,14.14
ISL,Iceland,5.11
IND,India,48.39
IDN,Indonesia,17.88
IRN,"Iran, Islamic Rep.",32.29
