geo_label,housing_cost_overburden_pct,year
Belgium,6.7,2025
Bulgaria,6.9,2025
Czechia,8.2,2025
Denmark,23.4,2025
Germany,11.2,2025
Estonia,8.8,2025
Ireland,5.3,2025
Greece,26.4,2025
Spain,7.2,2025
France,6.4,2025
Croatia,3.2,2025
Italy,5.0,2025
Cyprus,2.4,2025
Latvia,5.7,2025
Lithuania,5.7,2025
Luxembourg,8.1,2025
Hungary,5.3,2025
Malta,6.0,2025
Netherlands,6.5,2025
Austria,6.1,2025
Poland,4.1,2025
Portugal,6.3,2025
Romania,5.0,2025
Slovenia,3.5,2025
Slovakia,3.5,2025
Finland,4.7,2025
Sweden,10.8,2025
Norway,13.5,2025
Serbia,7.9,2025
Türkiye,10.0,2025
