country_name,total_parties_in_parliament,populist_parties,far_right_parties,far_left_parties,eurosceptic_parties,populist_share_of_parties,far_right_share_of_parties,eurosceptic_share_of_parties,political_resistance_presence_index
Austria,1,1,1,0,1,1.0,1.0,1.0,1.0
Netherlands,5,5,4,1,5,1.0,0.8,1.0,0.9333333333333332
Hungary,3,2,3,0,3,0.6666666666666666,1.0,1.0,0.8888888888888888
Croatia,9,9,8,1,6,1.0,0.8888888888888888,0.6666666666666666,0.8518518518518517
Cyprus,2,2,1,1,2,1.0,0.5,1.0,0.8333333333333334
Germany,2,2,1,1,2,1.0,0.5,1.0,0.8333333333333334
France,4,3,2,2,4,0.75,0.5,1.0,0.75
Belgium,3,2,2,1,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Switzerland,5,2,3,2,5,0.4,0.6,1.0,0.6666666666666666
Sweden,2,1,1,1,2,0.5,0.5,1.0,0.6666666666666666
Slovenia,3,3,2,1,1,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
Romania,2,2,1,0,1,1.0,0.5,0.5,0.6666666666666666
Poland,8,3,6,1,7,0.375,0.75,0.875,0.6666666666666666
Norway,3,2,1,2,3,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666
Luxembourg,2,1,1,1,2,0.5,0.5,1.0,0.6666666666666666
United Kingdom,1,1,0,0,1,1.0,0.0,1.0,0.6666666666666666
Iceland,3,3,0,0,3,1.0,0.0,1.0,0.6666666666666666
Greece,4,3,1,3,4,0.75,0.25,1.0,0.6666666666666666
Finland,3,2,1,1,3,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666
Estonia,2,2,1,0,1,1.0,0.5,0.5,0.6666666666666666
Denmark,4,2,2,2,4,0.5,0.5,1.0,0.6666666666666666
Czech Republic,2,2,1,0,1,1.0,0.5,0.5,0.6666666666666666
Bulgaria,2,2,1,0,1,1.0,0.5,0.5,0.6666666666666666
Italy,7,6,2,1,5,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.6190476190476191
Slovakia,4,3,2,0,2,0.75,0.5,0.5,0.5833333333333334
Portugal,3,1,1,2,3,0.3333333333333333,0.3333333333333333,1.0,0.5555555555555555
Spain,6,3,1,5,6,0.5,0.16666666666666666,1.0,0.5555555555555555
Latvia,2,1,1,0,1,0.5,0.5,0.5,0.5
Ireland,2,1,0,1,2,0.5,0.0,1.0,0.5
Lithuania,1,1,0,0,0,1.0,0.0,0.0,0.3333333333333333
