country,sector,winner,loser,rationale
Albania,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 31.4 and the bottom 20% holding an average of 8.1% of national income.
Algeria,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 34.4 and the bottom 20% holding an average of 7.6% of national income.
Angola,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 48.7 and the bottom 20% commanding just 4.1% of national income.
Argentina,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 45.9 and the bottom 20% commanding just 4.2% of national income.
Armenia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 32.2 and the bottom 20% holding an average of 8.5% of national income.
Australia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 33.4 and the bottom 20% holding an average of 7.5% of national income.
Austria,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 30.0 and the bottom 20% holding an average of 8.2% of national income.
Azerbaijan,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 29.4 and the bottom 20% holding an average of 9.5% of national income.
Bangladesh,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 30.4 and the bottom 20% holding an average of 9.2% of national income.
Belarus,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 28.0 and the bottom 20% holding an average of 9.0% of national income.
Belgium,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 28.0 and the bottom 20% holding an average of 8.8% of national income.
Belize,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 57.7 and the bottom 20% commanding just 3.1% of national income.
Benin,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 43.3 and the bottom 20% commanding just 5.4% of national income.
Bhutan,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 38.8 and the bottom 20% holding an average of 6.6% of national income.
Bolivia,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 51.3 and the bottom 20% commanding just 3.1% of national income.
Bosnia and Herzegovina,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 32.5 and the bottom 20% holding an average of 7.8% of national income.
Botswana,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 58.7 and the bottom 20% commanding just 3.1% of national income.
Brazil,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 56.7 and the bottom 20% commanding just 2.8% of national income.
Bulgaria,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 36.9 and the bottom 20% holding an average of 6.0% of national income.
Burkina Faso,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 43.3 and the bottom 20% holding an average of 6.3% of national income.
Burundi,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 36.9 and the bottom 20% holding an average of 7.2% of national income.
Cabo Verde,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 47.4 and the bottom 20% commanding just 5.0% of national income.
Cameroon,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 44.0 and the bottom 20% holding an average of 5.7% of national income.
Canada,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 32.9 and the bottom 20% holding an average of 7.2% of national income.
Central African Republic,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 58.8 and the bottom 20% commanding just 2.6% of national income.
Chad,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 41.5 and the bottom 20% holding an average of 5.6% of national income.
Chile,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 51.0 and the bottom 20% commanding just 4.4% of national income.
China,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 39.7 and the bottom 20% holding an average of 6.1% of national income.
Colombia,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 53.8 and the bottom 20% commanding just 3.3% of national income.
Comoros,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 50.6 and the bottom 20% commanding just 4.2% of national income.
"Congo, Dem. Rep.",Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 42.2 and the bottom 20% holding an average of 5.6% of national income.
"Congo, Rep.",Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 48.1 and the bottom 20% commanding just 4.6% of national income.
Costa Rica,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 47.5 and the bottom 20% commanding just 4.0% of national income.
Cote d'Ivoire,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 40.6 and the bottom 20% holding an average of 6.1% of national income.
Croatia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 31.6 and the bottom 20% holding an average of 7.2% of national income.
Cyprus,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 32.6 and the bottom 20% holding an average of 8.4% of national income.
Czech Republic,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 25.9 and the bottom 20% holding an average of 9.8% of national income.
Denmark,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 26.5 and the bottom 20% holding an average of 9.6% of national income.
Djibouti,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 42.7 and the bottom 20% commanding just 5.2% of national income.
Dominican Republic,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 48.0 and the bottom 20% commanding just 4.5% of national income.
Ecuador,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 49.6 and the bottom 20% commanding just 3.9% of national income.
"Egypt, Arab Rep.",Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 31.1 and the bottom 20% holding an average of 9.2% of national income.
El Salvador,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 46.2 and the bottom 20% commanding just 4.5% of national income.
Estonia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 32.8 and the bottom 20% holding an average of 7.4% of national income.
Eswatini,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 54.9 and the bottom 20% commanding just 3.7% of national income.
Ethiopia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 34.5 and the bottom 20% holding an average of 8.0% of national income.
Fiji,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 38.4 and the bottom 20% holding an average of 6.9% of national income.
Finland,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 26.8 and the bottom 20% holding an average of 9.6% of national income.
France,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 32.4 and the bottom 20% holding an average of 7.9% of national income.
Gabon,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 40.1 and the bottom 20% holding an average of 5.9% of national income.
"Gambia, The",Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 43.8 and the bottom 20% holding an average of 5.6% of national income.
Georgia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 38.2 and the bottom 20% holding an average of 6.1% of national income.
Germany,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 30.4 and the bottom 20% holding an average of 8.4% of national income.
Ghana,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 39.8 and the bottom 20% holding an average of 6.0% of national income.
Greece,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 34.7 and the bottom 20% holding an average of 6.5% of national income.
Guatemala,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 55.0 and the bottom 20% commanding just 3.2% of national income.
Guinea,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 41.8 and the bottom 20% holding an average of 5.6% of national income.
Guinea-Bissau,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 43.3 and the bottom 20% holding an average of 5.8% of national income.
Guyana,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 45.1 and the bottom 20% commanding just 4.2% of national income.
Haiti,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 41.1 and the bottom 20% holding an average of 5.5% of national income.
Honduras,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 53.9 and the bottom 20% commanding just 3.0% of national income.
Hungary,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 29.9 and the bottom 20% holding an average of 8.1% of national income.
Iceland,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 27.8 and the bottom 20% holding an average of 9.3% of national income.
India,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 33.7 and the bottom 20% holding an average of 8.5% of national income.
Indonesia,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 34.7 and the bottom 20% holding an average of 8.1% of national income.
"Iran, Islamic Rep.",Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 42.1 and the bottom 20% holding an average of 5.6% of national income.
Iraq,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 29.1 and the bottom 20% holding an average of 9.1% of national income.
Ireland,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 33.3 and the bottom 20% holding an average of 7.6% of national income.
Israel,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 39.2 and the bottom 20% holding an average of 5.6% of national income.
Italy,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 34.4 and the bottom 20% holding an average of 6.6% of national income.
Jamaica,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 42.6 and the bottom 20% holding an average of 5.8% of national income.
Japan,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 33.3 and the bottom 20% holding an average of 7.4% of national income.
Jordan,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 36.2 and the bottom 20% holding an average of 7.5% of national income.
Kazakhstan,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 30.3 and the bottom 20% holding an average of 8.8% of national income.
Kenya,Socio-Economic Equity,Concentrated Capital Accumulation,Wealth Distribution Equity,Historical baselines show deep systemic inequality with an average Gini index of 46.6 and the bottom 20% commanding just 5.1% of national income.
Kiribati,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 37.0 and the bottom 20% holding an average of 6.6% of national income.
"Korea, Rep.",Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 31.7 and the bottom 20% holding an average of 7.4% of national income.
Kosovo,Socio-Economic Equity,Wealth Distribution Equity,Concentrated Capital Accumulation,Socio-economic distribution shows active equity balancing with an average Gini index of 29.0 and the bottom 20% holding an average of 8.8% of national income.
