geo_label,poverty_social_exclusion_pct,year
Belgium,16.5,2025
Bulgaria,29.0,2025
Czechia,11.5,2025
Denmark,17.9,2025
Germany,21.2,2025
Estonia,21.8,2025
Ireland,18.8,2025
Greece,27.5,2025
Spain,25.7,2025
France,20.8,2025
Croatia,20.7,2025
Italy,22.6,2025
Cyprus,17.1,2025
Latvia,24.7,2025
Lithuania,26.3,2025
Luxembourg,18.2,2025
Hungary,19.5,2025
Malta,19.4,2025
Netherlands,15.8,2025
Austria,18.6,2025
Poland,15.0,2025
Portugal,18.6,2025
Romania,27.4,2025
Slovenia,15.5,2025
Slovakia,16.7,2025
Finland,17.2,2025
Sweden,18.6,2025
Norway,16.1,2025
Serbia,23.2,2025
Türkiye,29.8,2025
