COUNTRY,total_resistance_events,weighted_resistance_events,fatalities_in_resistance_events,population_exposure,protest_resistance_index,protest_resistance_rank,country_clean,entity,population,weighted_resistance_events_per_million,protest_resistance_per_capita_index,protest_resistance_per_capita_rank
Montenegro,1671,1780,0,3156.393708293613,0.0344968162758192,30,Montenegro,Montenegro,633553,2809.5518449127385,1.0,1
Cyprus,2216,2674,0,10871.018666666669,0.0518519956514986,23,Cyprus,Cyprus,1344981,1988.1321743578533,0.7071094464115881,2
Georgia,5453,6170,2,8444.808394160584,0.1197196769684733,13,Georgia,Georgia,3807494,1620.488436751312,0.5760200877185425,3
Serbia,7271,7944,1,14859.498652291106,0.1541582543873272,11,Serbia,Serbia,6773204,1172.8570407742036,0.416409827493433,4
Armenia,2868,3243,0,21335.492653414003,0.0628979655225966,20,Armenia,Armenia,2943398,1101.787797640686,0.391068932077057,5
Greenland,58,58,0,2532.3541666666665,0.0010677123776984,51,Greenland,Greenland,55951,1036.6213293774908,0.3678327671187532,6
San Marino,33,33,0,3520.6785714285716,0.0005823885696536,54,San Marino,San Marino,33761,977.4591984834573,0.34673754638059123,7
Greece,7042,9560,12,56032.98447335292,0.1855295853393384,9,Greece,Greece,10242910,933.3285169937059,0.331002033590843,8
Iceland,311,329,3,2137.1479591836733,0.0063286224569032,46,Iceland,Iceland,387559,848.9030057359008,0.3008987433779615,9
Malta,407,435,0,7537.960396039604,0.0083863954030128,44,Malta,Malta,532964,816.1902117216172,0.28923446421382254,10
North Macedonia,1427,1467,0,14449.49676025918,0.0284205621990992,36,North Macedonia,North Macedonia,1831800,800.8516213560432,0.28376524015640003,11
France,46787,51515,4,59397.05072337459,1.0,1,France,France,66438828,775.374905770463,0.2746811025359381,12
Sweden,7796,8161,0,5554.514054054054,0.1583708650411554,10,Sweden,Sweden,10551493,773.4450470658512,0.2739929800029589,13
Bulgaria,5032,5177,0,12344.131752817722,0.1004426153129367,16,Bulgaria,Bulgaria,6795805,761.7934887772677,0.2698384272455291,14
Kosovo,1030,1281,0,10670.37676056338,0.0248097530672464,37,Kosovo,Kosovo,1700039,753.5121253100664,0.2668855723075204,15
Moldova,1887,2025,0,8454.016981132076,0.0392529895946575,28,Moldova,Moldova,3067072,660.2388206080587,0.2336274573286848,16
Albania,1419,1692,0,26208.10238095238,0.0327884764715017,31,Albania,Albania,2811660,601.7797315464885,0.2127829175991319,17
Denmark,3145,3437,0,10595.394807520142,0.0666640782730237,19,Denmark,Denmark,5948134,577.828273539231,0.2042426353944747,18
Monaco,22,22,0,13771.0,0.0003688460941139,55,Monaco,Monaco,38979,564.4064752815618,0.19945687476229365,19
Spain,25822,26926,2,57119.108273381295,0.5226549153595279,4,Spain,Spain,47911583,561.9935371369382,0.19859650239200943,20
Italy,29396,32357,2,28833.336470963623,0.6280866594191644,2,Italy,Italy,59499452,543.8201346795597,0.1921164799416937,21
Norway,2611,2811,0,3080.038674033149,0.0545115701195837,22,Norway,Norway,5519167,509.31598917010484,0.17981346524455044,22
Bosnia and Herzegovina,1441,1618,0,13916.0589198036,0.0313519179996893,32,Bosnia and Herzegovina,Bosnia and Herzegovina,3185072,507.99479572204336,0.17934237221589347,23
Belgium,5392,5791,1,29006.54195804196,0.1123621680385153,14,Belgium,Belgium,11712891,494.4125237740196,0.1744993920774245,24
Belarus,3584,4150,3,12444.117525773196,0.0805055132784593,17,Belarus,Belarus,9115679,455.2595588326443,0.16053876514410484,25
Andorra,33,34,0,13596.21875,0.0006018015219754,53,Andorra,Andorra,80869,420.4330460374186,0.1481208051441245,26
Ireland,1955,2098,0,7438.467450980392,0.0406701351141481,26,Ireland,Ireland,5196629,403.72325982863117,0.14216265889017657,27
Croatia,1426,1521,0,7913.524801587301,0.0294688616244758,34,Croatia,Croatia,3896023,390.3981059660069,0.1374113583901065,28
Luxembourg,248,256,0,4612.625668449198,0.0049114769374126,47,Luxembourg,Luxembourg,665101,384.90394691934006,0.13545232655490103,29
Germany,27728,31616,2,19754.35974483801,0.6137016617487188,3,Germany,Germany,84548233,373.94039920384853,0.1315430951658912,30
Finland,1901,2077,1,2482.9460694698355,0.0402624631153905,27,Finland,Finland,5601185,370.81439016922315,0.130428465763292,31
Netherlands,5519,6587,1,12322.860589812331,0.1278148780866594,12,Netherlands,Netherlands,18092526,364.0729879288276,0.12802470906628255,32
Slovenia,672,748,0,5761.490234375,0.0144626494797328,41,Slovenia,Slovenia,2118394,353.09767682499097,0.12411128324968838,33
Kyrgyzstan,2034,2385,2,8246.510500807755,0.0462416524305016,25,Kyrgyzstan,Kyrgyzstan,7073523,337.1728628011812,0.11843303160509926,34
Liechtenstein,13,13,0,1578.076923076923,0.0001941295232178,59,Liechtenstein,Liechtenstein,39622,328.10055019938414,0.11519815087906005,35
Estonia,434,448,0,4814.653846153846,0.0086387637831961,43,Estonia,Estonia,1367195,327.6782024510037,0.11504755591492143,36
Portugal,2994,3113,0,12017.312738853503,0.060374281720764,21,Portugal,Portugal,10430735,298.44493221235126,0.10462395758836242,37
Austria,2316,2615,0,13217.6248049922,0.0507066314645131,24,Austria,Austria,9130434,286.40478645374355,0.10033084764354992,38
Ukraine,8018,10729,5,12089.888205402514,0.2082233266035098,7,Ukraine,Ukraine,37732833,284.3412261146678,0.09959505161657298,39
Kazakhstan,5300,5758,230,7707.86120182887,0.1117215406118962,15,Kazakhstan,Kazakhstan,20330109,283.2252399630518,0.09919712858957389,40
Poland,8668,9562,1,12522.898005148005,0.185568411243982,8,Poland,Poland,38762847,246.6795073127627,0.08616615276693916,41
Lithuania,616,662,0,5097.097701149425,0.012793135580059,42,Lithuania,Lithuania,2854104,231.94669850853367,0.08091292998537619,42
Slovakia,1062,1113,0,10078.1462585034,0.0215483770771858,40,Slovakia,Slovakia,5518057,201.70143222514736,0.07012848799704906,43
Romania,3551,3707,3,14748.925648702594,0.0719055753999068,18,Romania,Romania,19118482,193.896147194113,0.06734538657447088,44
Latvia,330,355,0,2587.885106382979,0.0068333592172697,45,Latvia,Latvia,1882399,188.58913545959172,0.06545308515956305,45
Czech Republic,1878,2002,0,7222.464772727273,0.0388064916912564,29,Czechia,Czechia,10809722,185.20365278589034,0.06424593620756078,46
Faroe Islands,8,10,0,1604.571428571429,0.0001358906662525,61,Faroe Islands,Faroe Islands,54738,182.68844312908766,0.06334909726496009,47
Switzerland,1347,1543,0,16587.119796954314,0.0298959465755552,33,Switzerland,Switzerland,8870564,173.94609857952662,0.06023187201875693,48
Isle of Man,14,14,0,3292.4615384615386,0.0002135424755396,57,Isle of Man,Isle of Man,84182,166.30633627141194,0.057507790417209645,49
United Kingdom,9585,11185,2,35004.77261462206,0.2170756328622456,6,United Kingdom,United Kingdom,68682965,162.84969642763676,0.05627526921800929,50
Hungary,1386,1488,0,15738.832684824903,0.0288282341978568,35,Hungary,Hungary,9686465,153.6164121792625,0.05298299143128589,51
Gibraltar,5,5,0,16818.0,3.882590464357819e-05,63,Gibraltar,Gibraltar,38493,129.8937469150235,0.044524289003156865,52
Azerbaijan,801,1247,2,11611.63567839196,0.0241497126883056,38,Azerbaijan,Azerbaijan,10318209,120.85430717675906,0.04130112963167398,53
Russia,10183,14013,19,10971.241892940265,0.2719754620282653,5,Russia,Russia,145440502,96.34867734436176,0.03256324844264058,54
Uzbekistan,976,1154,25,13649.230659025789,0.0223443081223792,39,Uzbekistan,Uzbekistan,35652311,32.36816822337267,0.009749956520064421,55
Tajikistan,66,123,113,15975.127272727274,0.0023295542786146,48,Tajikistan,Tajikistan,10389807,11.838525970694162,0.002429778418781309,56
Turkmenistan,21,37,0,17730.6,0.0006600403789408,52,Turkmenistan,Turkmenistan,7364437,5.024145090792413,0.0,57
