COUNTRY,total_mobilization_events,weighted_mobilization_events,fatalities_in_mobilization_events,population_exposure,social_mobilization_index,social_mobilization_rank
France,46787,51515,4,59397.05072337459,1.0,1
Italy,29396,32357,2,28833.336470963626,0.6280866594191644,2
Germany,27728,31616,2,19754.359744838006,0.6137016617487188,3
Spain,25822,26926,2,57119.108273381295,0.5226549153595279,4
Russia,10183,14013,19,10971.241892940263,0.2719754620282653,5
United Kingdom,9585,11185,2,35004.77261462206,0.21707563286224568,6
Ukraine,8018,10729,5,12089.888205402514,0.20822332660350987,7
Poland,8668,9562,1,12522.898005148005,0.185568411243982,8
Greece,7042,9560,12,56032.98447335292,0.18552958533933842,9
Sweden,7796,8161,0,5554.514054054054,0.15837086504115547,10
Serbia,7271,7944,1,14859.498652291106,0.15415825438732722,11
Netherlands,5519,6587,1,12322.860589812333,0.12781487808665942,12
Georgia,5453,6170,2,8444.808394160584,0.11971967696847337,13
Belgium,5392,5791,1,29006.54195804196,0.1123621680385153,14
Kazakhstan,5300,5758,230,7707.86120182887,0.11172154061189626,15
Bulgaria,5032,5177,0,12344.131752817722,0.10044261531293679,16
Belarus,3584,4150,3,12444.117525773196,0.08050551327845938,17
Romania,3551,3707,3,14748.925648702594,0.07190557539990682,18
Denmark,3145,3437,0,10595.394807520142,0.06666407827302376,19
Armenia,2868,3243,0,21335.492653414003,0.06289796552259667,20
Portugal,2994,3113,0,12017.312738853503,0.060374281720764096,21
Norway,2611,2811,0,3080.038674033149,0.05451157011958379,22
Cyprus,2216,2674,0,10871.018666666667,0.05185199565149868,23
Austria,2316,2615,0,13217.6248049922,0.050706631464513124,24
Kyrgyzstan,2034,2385,2,8246.510500807755,0.04624165243050163,25
Ireland,1955,2098,0,7438.467450980392,0.04067013511414816,26
Finland,1901,2077,1,2482.9460694698355,0.04026246311539059,27
Moldova,1887,2025,0,8454.016981132076,0.039252989594657554,28
Czech Republic,1878,2002,0,7222.464772727273,0.038806491691256405,29
Montenegro,1671,1780,0,3156.393708293613,0.03449681627581923,30
Albania,1419,1692,0,26208.10238095238,0.032788476471501786,31
Bosnia and Herzegovina,1441,1618,0,13916.058919803601,0.031351917999689394,32
Switzerland,1347,1543,0,16587.119796954314,0.02989594657555521,33
Croatia,1426,1521,0,7913.524801587301,0.029468861624475852,34
Hungary,1386,1488,0,15738.832684824903,0.02882823419785681,35
North Macedonia,1427,1467,0,14449.496760259179,0.02842056219909924,36
Kosovo,1030,1281,0,10670.37676056338,0.024809753067246466,37
Azerbaijan,801,1247,2,11611.63567839196,0.02414971268830564,38
Uzbekistan,976,1154,25,13649.230659025789,0.022344308122379253,39
Slovakia,1062,1113,0,10078.1462585034,0.021548377077185897,40
Slovenia,672,748,0,5761.490234375,0.014462649479732878,41
Lithuania,616,662,0,5097.097701149425,0.012793135580059015,42
Estonia,434,448,0,4814.653846153846,0.00863876378319615,43
Malta,407,435,0,7537.960396039604,0.00838639540301289,44
Latvia,330,355,0,2587.885106382979,0.006833359217269763,45
Iceland,311,329,3,2137.1479591836733,0.006328622456903246,46
Luxembourg,248,256,0,4612.625668449198,0.004911476937412642,47
Tajikistan,66,123,113,15975.127272727274,0.002329554278614692,48
Atlantic Ocean,27,73,0,,0.001358906662525237,49
Pacific Ocean,21,62,1,,0.0011453641869855567,50
Greenland,58,58,0,2532.3541666666665,0.0010677123776984003,51
Turkmenistan,21,37,0,17730.6,0.0006600403789408293,52
Andorra,33,34,0,13596.21875,0.000601801521975462,53
San Marino,33,33,0,3520.6785714285716,0.000582388569653673,54
Monaco,22,22,0,13771.0,0.00036884609411399284,55
Bailiwick of Jersey,18,18,0,15339.70588235294,0.0002911942848268365,56
Akrotiri and Dhekelia,12,14,0,228.25,0.00021354247553968009,57
Isle of Man,14,14,0,3292.4615384615386,0.00021354247553968009,57
Liechtenstein,13,13,0,1578.076923076923,0.00019412952321789097,59
Bailiwick of Guernsey,13,13,0,10013.76923076923,0.00019412952321789097,59
Faroe Islands,8,10,0,1604.5714285714287,0.0001358906662525237,61
Vatican City,8,8,0,8125.571428571428,9.706476160894548e-05,62
Southern Ocean,3,5,0,,3.8825904643578196e-05,63
Gibraltar,5,5,0,16818.0,3.8825904643578196e-05,63
Mediterranean Sea,2,4,0,,1.9412952321789098e-05,65
Arctic Ocean,1,3,0,,0.0,66
