country_code_3,overall_contradiction_score,transition_capacity_score,stress_absorption_gap,stress_capacity_quadrant
AFG,0.1161842528513177,0.03313197309345976,0.08305227975785794,Low Stress / Low Capacity
AGO,0.2633619327194941,0.2636546546986475,-0.0002927219791534208,High Stress / Low Capacity
ALB,0.1600121001841863,0.3573778634680622,-0.19736576328387592,Low Stress / Low Capacity
AND,0.1909765966396011,,,No data
ARE,0.1762614060771167,0.13472952421080744,0.04153188186630927,Low Stress / Low Capacity
ARG,0.2105847495098853,0.37015602453304897,-0.15957127502316368,High Stress / Low Capacity
ARM,0.1392460181780094,0.40705354589188797,-0.26780752771387856,Low Stress / Low Capacity
ASM,0.1568687955816018,,,No data
ATG,0.1944227662622588,,,No data
AUS,0.2345284970511493,0.8877411381414909,-0.6532126410903416,High Stress / High Capacity
AUT,0.1360625280606275,0.8285851493091873,-0.6925226212485598,Low Stress / High Capacity
AZE,0.1651602918479951,0.07068638745409178,0.09447390439390332,Low Stress / Low Capacity
BDI,0.3664353664023541,0.20802352398261365,0.15841184241974043,High Stress / Low Capacity
BEL,0.1631379730898198,0.8957082314013375,-0.7325702583115177,Low Stress / High Capacity
BEN,0.2373442750216573,0.3973029495167944,-0.1599586744951371,High Stress / Low Capacity
BES,0.0997601435576438,,,No data
BFA,0.3847016202981556,0.29630544602491427,0.08839617427324131,High Stress / Low Capacity
BGD,0.2107232131216594,0.23925113642311308,-0.028527923301453678,High Stress / Low Capacity
BGR,0.0663025906306815,0.6431884453078531,-0.5768858546771716,Low Stress / High Capacity
BHR,0.3226738890577529,0.101235298839299,0.2214385902184539,High Stress / Low Capacity
BHS,0.210414117891845,,,No data
BIH,0.1765340941726236,0.4903330640229563,-0.3137989698503327,Low Stress / High Capacity
BLR,0.0792716679363105,0.16920027416534109,-0.08992860622903058,Low Stress / Low Capacity
BLZ,0.1064181735261186,,,No data
BMU,0.2592509871287974,,,No data
BOL,0.0703843433169845,0.5498687500047242,-0.47948440668773973,Low Stress / High Capacity
BRA,0.1877400122162945,0.7880118440410283,-0.6002718318247338,High Stress / High Capacity
BRB,0.2822224480826586,0.7458988351952858,-0.46367638711262715,High Stress / High Capacity
BRN,0.3945170660302914,,,No data
BTN,0.0552400639791204,0.5951625242121821,-0.5399224602330617,Low Stress / High Capacity
BWA,0.1441703196347708,0.3976080032839224,-0.25343768364915154,Low Stress / Low Capacity
CAF,0.3454925411990075,0.2018887933293106,0.14360374786969693,High Stress / Low Capacity
