country,transition_cost_pressure_index,overall_contradiction_score,transition_capacity_score,pressure_norm,contradiction_norm,capacity_norm,transition_vulnerability_index,tvi_category,tvi_rank,transition_archetype
Türkiye,0.580909752547307,0.3080757778005558,0.2124187554380021,0.8045993855993013,1.0,0.0,1.0,Vulnerable,1,Acceptance Trap
Greece,0.7059920936005607,0.2305161992043186,0.5488405013993862,1.0,0.6792052108667351,0.4595271752829892,0.751151090659772,Vulnerable,2,Acceptance Trap
Serbia,0.4215273638413438,0.1642961279946897,0.3798787274337237,0.5556160645681022,0.4053118483116001,0.2287379125396826,0.5437542057904032,Transitioning,3,Acceptance Trap
Cyprus,0.3412068501559383,0.1997352176709599,0.4586225686629641,0.4301412965796619,0.5518917486351627,0.3362961645414973,0.5069735949654701,Transitioning,4,Acceptance Trap
Romania,0.3633282370294724,0.1535275792859872,0.5538091975989002,0.4646987932661349,0.3607719684566172,0.4663140460985995,0.3850509441524453,Transitioning,5,Acceptance Trap
Hungary,0.1503300279111338,0.1169671038178306,0.27881522624941,0.1319581315747119,0.2095538954514061,0.0906926589823593,0.3389599085192321,Transitioning,6,Institutional Fragility
Italy,0.3086825067493112,0.1650622323171996,0.6106295416616181,0.3793325522667575,0.4084805384855507,0.5439264255574036,0.3360104597725393,Transitioning,7,Acceptance Trap
Denmark,0.2971922991034412,0.2083600077687816,0.747645974786722,0.3613828271921467,0.5875648114705455,0.7310807199428704,0.3249406201582708,Transitioning,8,Managed Pressure
Netherlands,0.3228697085636886,0.176576643917221,0.6902611223679371,0.4014954565409572,0.4561053877701456,0.6526972639011723,0.3194254981683843,Transitioning,9,Managed Pressure
Albania,0.0658593005851136,0.1600121001841863,0.3573778634680622,0.0,0.3875926468540234,0.1980033997333849,0.3129101689942796,Transitioning,10,Institutional Fragility
Bosnia and Herzegovina,0.1207050898090578,0.1765340941726236,0.4903330640229563,0.0856787682530438,0.4559293974335187,0.379610351375526,0.3011716712259539,Transitioning,11,Institutional Fragility
Slovakia,0.1595763905685824,0.1535016349357517,0.4987010542865204,0.1464025761623608,0.3606646598235169,0.3910404059863613,0.281613778003362,Stable,12,Institutional Fragility
France,0.3165954431652342,0.171620772560582,0.7345869402674798,0.3916939505613955,0.4356073688845489,0.7132430464969949,0.280776275192096,Stable,13,Managed Pressure
Malta,0.2455059038103996,0.1444583836676687,0.5947600457032441,0.2806395878877446,0.323260796417733,0.5222498700479584,0.2669887199860682,Stable,14,Institutional Fragility
Moldova,0.1339553990113261,0.1947890022188813,0.6253435255818818,0.1063780814999885,0.5314336676131207,0.5640246372491478,0.2636433144725096,Stable,15,Institutional Fragility
Sweden,0.3941724979636647,0.1914292083801679,0.9165263330679988,0.5128829532884571,0.5175371976279989,0.9617587748944136,0.2614626216771556,Stable,16,Managed Pressure
Portugal,0.2853270648711704,0.1702733019911816,0.7481457164677522,0.3428472446353186,0.4300340851587003,0.7317633300470381,0.2497445690784356,Stable,17,Managed Pressure
Lithuania,0.3238236180370369,0.1142969501669471,0.6269974975462079,0.4029856308981476,0.1985098517253854,0.5662838403889213,0.2472317686393895,Stable,18,Acceptance Trap
Germany,0.2969715234980202,0.1336952050238124,0.6649808946964191,0.3610379368696544,0.2787431277306181,0.6181663462305382,0.2414470940432804,Stable,19,Managed Pressure
Spain,0.3802092989386418,0.1510406886195861,0.8195805843947386,0.4910699807656042,0.3504859202164798,0.8293380661313379,0.2374492843978722,Stable,20,Managed Pressure
North Macedonia,0.1367668794425097,0.127087862083776,0.4751659100761422,0.1107701083760678,0.2514144441103209,0.3588931430085564,0.2336516264421531,Stable,21,Institutional Fragility
Montenegro,0.098516805007484,0.1563912261954883,0.5454087530682228,0.0510167652379313,0.372616321186637,0.4548396613638306,0.2189748057099267,Stable,22,Institutional Fragility
Bulgaria,0.3865711966375222,0.0663025906306815,0.6431884453078531,0.5010083838099346,0.0,0.5883994752412453,0.1950716678769813,Stable,23,Acceptance Trap
Ireland,0.2646143334423299,0.192826369346967,0.8968703540896538,0.3104903154874305,0.5233160062012483,0.9349101641676342,0.1892377157701388,Stable,24,Managed Pressure
Croatia,0.2014226940999773,0.120022764470248,0.6502758077454409,0.2117738616018573,0.2221924377487802,0.5980802871395502,0.1624306827607689,Stable,25,Stable Transition System
Finland,0.1944096787377057,0.1985650476873068,0.8807658276732516,0.2008182982581397,0.5470517992704264,0.9129125744688724,0.1620356663835202,Stable,26,Stable Transition System
Latvia,0.3023994657358543,0.123023497685808,0.8311352691764333,0.3695173372332336,0.2346037942382475,0.8451209093118349,0.1297203961597514,Stable,27,Managed Pressure
Poland,0.1312983114486003,0.1117336326400833,0.6120600756746354,0.1022272434368279,0.1879076937405847,0.5458804290130052,0.1234469803491292,Stable,28,Institutional Fragility
Estonia,0.2286897689272635,0.0999911607017852,0.6977196554176799,0.2543698278213667,0.1393395622792261,0.662885067351002,0.1177332429507161,Stable,29,Stable Transition System
Luxembourg,0.2274709981609216,0.1606453813827348,0.8818597050564301,0.2524658935445416,0.390211966249865,0.91440672991522,0.1166470127060543,Stable,30,Stable Transition System
Norway,0.2539381866296007,0.1695221588499506,0.94452289216116,0.2938122965994472,0.4269272760454827,1.0,0.1134427873801562,Stable,31,Managed Pressure
Austria,0.2272559246620187,0.1360625280606275,0.8285851493091873,0.2521299109152347,0.2885346313482287,0.8416376345434937,0.1042053523210625,Stable,32,Stable Transition System
Belgium,0.2033772756533846,0.1631379730898198,0.8957082314013375,0.2148272617318521,0.4005215946096619,0.9333227906916176,0.0969725149372147,Stable,33,Stable Transition System
Slovenia,0.146125677621161,0.1384956768115176,0.7631397970300021,0.1253901970213709,0.2985983972247175,0.7522441329958676,0.0925983096854164,Stable,34,Stable Transition System
Czechia,0.1895033402453995,0.0842718452064272,0.8079013642761127,0.1931537346772081,0.0743227765911038,0.8133851169089757,0.0,Stable,35,Stable Transition System
