Year,Number,Name,any_item_aggregated,NorthSouth,NorthNorth,SouthSouth,polity2max,competition,epimax,so2popmin_ln
2003,1,Afghanistan India,2,0,0,1,19.0,,39.3061494296851,0.0052313733245263
1962,2,African Common Market,0,0,0,1,6.0,,,0.8801633529976768
1991,3,African Economic Community,21,0,0,1,20.0,0.993421052631579,78.5069357132729,0.3263586033046252
2004,4,Agadir Agreement,4,0,0,1,8.0,0.999974443833936,55.4158276000101,2.1525956947868767
2003,5,Albania Bosnia and Herzegovina,7,0,0,1,17.0,0.837878553754772,27.554002056678,1.4562609165620053
2003,6,Albania Bulgaria,7,0,0,1,19.0,0.955555555555556,51.3032834321721,0.1251472481468922
2002,7,Albania Croatia,7,0,0,1,18.0,0.949450823764353,45.8386937626557,1.5272215959740087
2006,8,Albania EC SAA,17,1,0,0,20.0,1.0,67.992375410237,0.0017671504772608
2009,9,Albania EFTA,11,1,0,0,20.0,,97.94710926624,0.0029548994047377
2003,10,Albania Kosovo,6,0,0,1,17.0,,27.554002056678,1.4562609165620053
2002,11,Albania Macedonia,7,0,0,1,19.0,0.944553090250324,45.2083785300717,1.5272215959740087
2003,12,Albania Moldova,6,0,0,1,18.0,0.0,32.9356663564415,1.4562609165620053
2003,13,Albania Romania,9,0,0,1,18.0,0.0004785610224389,37.1596321382047,1.4562609165620053
2003,14,Albania Serbia,7,0,0,1,17.0,,37.2164719096425,0.1311123665875877
2006,15,Albania Turkey,6,0,0,1,19.0,0.9711379,30.3660032511311,0.0038873000670858
1976,16,Algeria EC,4,1,0,0,20.0,1.0,,0.0695140967256461
2002,17,Algeria EC Euro-Med Association Agreement,25,1,0,0,20.0,0.990415814243281,67.0289011013368,0.0362628548551858
1997,18,Algeria Jordan,1,0,0,1,8.0,0.228736446357544,34.080340542397,1.8361935473637176
1989,19,Algeria Morocco,0,0,0,1,8.0,0.0,,1.867756188878249
2008,20,Algeria Tunisia,3,0,0,1,12.0,0.0,40.6735894873255,0.0010411648798051
1999,22,Andean Community Brazil,6,0,0,1,19.0,0.995468277945619,56.0793642156613,0.0103700774369849
1996,23,Andean Community Trujillo Protocol,0,0,0,1,19.0,0.995073891625616,56.6801660871448,0.0433698679166145
2000,24,Andean Countries Argentina,6,0,0,1,18.0,0.982674982674983,56.0299613793001,0.0414739645502681
2004,25,Andean Countries MERCOSUR,7,0,0,1,20.0,0.997965169935077,57.0579116966029,0.0079515519529029
1969,26,Andean Group Cartagena Agreement,0,0,0,1,17.0,1.0,,0.1548083928653118
1987,27,Andean Group Quito Protocol,5,0,0,1,19.0,0.953051643192488,,1.063112769985547
1989,28,Andorra EC,1,1,0,0,20.0,,63.3769257500415,0.0231509048941961
1962,29,Arab Common Market,0,0,0,1,5.0,0.8,,1.9635950484604343
1989,30,Arab Maghreb Union,0,0,0,1,8.0,0.984126984126984,,1.867756188878249
1986,32,Argentina Brazil,0,0,0,1,18.0,0.994027622247107,,0.011051939237809
1988,33,Argentina Brazil,0,0,0,1,18.0,1.0,,0.0112276328152948
1990,34,Argentina Brazil,3,0,0,1,18.0,1.0,36.9288192230731,0.010919240118789
1991,35,Argentina Chile,1,0,0,1,18.0,0.951658767772512,40.1454963128965,0.148866033604531
1988,36,Argentina Colombia,1,0,0,1,18.0,0.564401294498382,,1.524476109604488
1999,39,Argentina Cuba,1,0,0,1,18.0,0.964200477326969,37.8295059614818,1.5585504732635636
1984,40,Argentina Ecuador,0,0,0,1,18.0,0.0,,1.6770555739385609
1993,41,Argentina Ecuador,1,0,0,1,19.0,0.407903123008286,47.2370965364438,1.5307627082191708
1986,43,Argentina Mexico,1,0,0,1,18.0,0.874172185430464,,0.029237125273156
1989,45,Argentina Paraguay,1,0,0,1,17.0,0.668110918544194,,1.1550833644850431
1988,46,Argentina Peru,1,0,0,1,18.0,0.0798557444616177,,1.677378314481862
2003,47,Argentina Uruguay,0,0,0,1,20.0,0.998410168563825,39.8926473052211,1.438181668361805
1986,48,Argentina Venezuela,1,0,0,1,19.0,0.768844221105528,,1.5818771492800552
1992,49,Argentina Venezuela,1,0,0,1,18.0,0.884615384615385,56.6827877003335,1.5473913009090394
2002,51,Armenia Estonia,4,0,0,1,19.0,0.0,58.5101305868496,2.1065959833431673
1995,52,Armenia Georgia,2,0,0,1,15.0,,50.4667352846972,0.9365898662263707
1995,53,Armenia Iran,1,0,0,1,13.0,,50.4667352846972,0.022177211425275
1999,54,Armenia Kazakhstan,6,0,0,1,15.0,0.0,50.3893446074577,0.1086279481613511
1994,55,Armenia Kyrgyzstan,3,0,0,1,17.0,,50.540157612015,1.2330420900339156
1993,56,Armenia Moldova,5,0,0,1,17.0,,45.187816308336,1.8928904505881623
1992,57,Armenia Russia,3,0,0,1,17.0,,44.3034342156068,0.0581144647059564
1995,59,Armenia Turkmenistan,2,0,0,1,13.0,,50.4667352846972,0.9365898662263707
1994,60,Armenia Ukraine,4,0,0,1,17.0,,50.540157612015,0.0400381584266802
1969,61,Arusha Agreement II,2,0,0,0,20.0,1.0,,0.0597487932339035
2005,62,Asia Pacific Trade Agreement (Bangkok Agreement amended),1,0,0,1,19.0,0.999923794359253,55.3929647926706,0.0055517308091501
1994,63,Association of Caribbean States,7,0,0,1,20.0,1.0,65.3657370144612,0.0316091861109518
1992,64,Association of Southeast Asian Nations (ASEAN) FTA,4,0,0,1,19.0,0.999346547593117,58.6080409185364,1.0989120253323472
1977,65,Association of Southeast Asian Nations (ASEAN) Preferential Trading Arrangements (PTA),1,0,0,1,14.0,1.0,,0.8604795113110577
2009,66,Association of Southeast Asian Nations Australia New Zealand FTA (AANZFTA),45,1,0,0,20.0,0.999317577760218,59.9850855174769,0.0001451393272574
2004,67,Association of Southeast Asian Nations China,3,0,0,1,19.0,0.999855858170774,59.9175855174769,0.0059157561260758
2007,68,Association of Southeast Asian Nations China Services,2,0,0,1,18.0,0.996206335671302,59.9850855174769,0.0603554065426215
2009,69,Association of Southeast Asian Nations Goods,8,0,0,1,18.0,0.990763462849352,59.9850855174769,
2009,70,Association of Southeast Asian Nations India,13,0,0,1,19.0,,59.9850855174769,0.0001451393272574
2008,71,Association of Southeast Asian Nations Japan,15,1,0,0,20.0,0.997831401614164,59.9850855174769,0.0600341294383627
2006,72,Association of Southeast Asian Nations Korea,12,0,0,1,18.0,1.0,59.9850855174769,0.065481851843637
2007,73,Association of Southeast Asian Nations Korea services,4,0,0,1,18.0,0.727069867651585,59.9850855174769,0.0603554065426215
1960,74,Australia Canada,0,0,1,0,20.0,,,0.2111334922404461
2008,75,Australia Chile,27,1,0,0,20.0,0.983329267300968,54.2060556606886,0.0108230865030578
1995,76,Association of Southeast Asian Nations Services,1,0,0,1,19.0,1.0,58.6080409185364,0.0175282538658123
1983,77,Australia New Zealand (ANZCERTA),2,0,1,0,20.0,1.0,,0.0924728279501155
1988,78,Australia New Zealand (ANZCERTA) Protocol on services,2,0,1,0,20.0,0.999584889995849,,0.0908891955026532
1965,79,Australia New Zealand Free Trade Agreement,2,0,1,0,20.0,1.0,,3.5835823463783156
1991,80,Australia Papua New Guinea,2,1,0,0,20.0,0.844106463878327,49.6652850166125,0.0909667471515448
1976,81,Australia Papua New Guinea ,2,1,0,0,20.0,1.0,,0.0965208768150814
2003,82,Australia Singapore,11,1,0,0,20.0,0.999980015854089,59.9175855174769,0.1316737115497113
2004,83,Australia Thailand,12,1,0,0,20.0,0.997209199682795,52.0055739023403,0.1182278801861434
2004,84,Australia US,73,0,1,0,20.0,,52.0055739023403,0.0441762339370532
1972,85,Austria EC,1,0,1,0,20.0,1.0,,0.0671560283645712
1996,86,Azerbaijan Georgia,3,0,0,1,15.0,,42.048235326724,1.673850507660625
1995,92,Azerbaijan Ukraine,2,0,0,1,17.0,,42.1194738627764,0.0398646394870853
2001,94,Bahrain Jordan,3,0,0,1,8.0,0.96355372890409,34.9436021546717,3.050893915155567
2004,96,Bahrain US,58,1,0,0,20.0,,49.207742901102,0.0441762339370532
1975,100,Bangkok Agreement,1,0,0,1,18.0,1.0,,0.0021432024751498
1999,109,Belarus Russia (Union State),7,0,0,1,13.0,0.0,50.4715864670799,0.0418326912484092
2009,112,Belarus Serbia,4,0,0,1,18.0,0.90190336749634,54.209951580429,0.0029548994047377
1992,114,Belarus Ukraine,3,0,0,1,17.0,,48.8663302995108,0.0552248777637157
2006,115,Belize Guatemala,7,0,0,1,18.0,0.9811888,52.5011795194746,
2006,116,Bhutan India,1,0,0,1,19.0,,58.6894717253097,0.0001252915599115
1972,117,Bhutan India,0,0,0,1,19.0,,,0.0020605521374775
1993,119,Bolivia Chile,15,0,0,1,19.0,0.78682842287695,40.9198380939056,0.1327754855361248
2000,121,Bolivia Cuba,3,0,0,1,19.0,,48.2025958231989,1.2447202896774232
1996,123,Bolivia MERCOSUR,11,0,0,1,20.0,0.940127388535032,44.6876732422188,0.0106431665618611
1994,124,Bolivia Mexico,31,0,0,1,19.0,0.0,38.8463860415078,0.0316091861109518
1994,125,Bolivia Paraguay,2,0,0,1,19.0,,38.8463860415078,1.2271957249588354
1991,126,Bolivia Uruguay,1,0,0,1,20.0,,38.4307024843276,1.1939010022365215
2003,128,Bosnia and Herzegovina Bulgaria,6,0,0,1,19.0,0.964180493099705,51.3032834321721,0.1251472481468922
2000,129,Bosnia and Herzegovina Croatia,8,0,0,1,18.0,,45.808648416802,2.8223091015280293
2008,130,Bosnia and Herzegovina EC SAA,30,1,0,0,20.0,0.999624859322246,67.615406271198,0.0013699111845207
2002,131,Bosnia and Herzegovina Macedonia,7,0,0,1,19.0,0.987094379562272,45.2083785300717,3.7819854852790233
2002,132,Bosnia and Herzegovina Moldova,7,0,0,1,18.0,0.0,30.74852671019,1.6370811805040006
2003,133,Bosnia and Herzegovina Romania,7,0,0,1,18.0,0.815116279069767,37.1596321382047,3.555974160134117
2002,134,Bosnia and Herzegovina Serbia Montenegro,8,0,0,1,0.0,,37.0316278677744,0.1307938101625859
2001,135,Bosnia and Herzegovina Slovenia,7,0,0,1,20.0,0.996104375860564,44.4333589876021,3.573398760611126
2002,136,Bosnia and Herzegovina Turkey,8,0,0,1,17.0,0.991145587794111,25.8102285296679,0.02271674242725
1989,138,Brazil Cuba,1,0,0,1,18.0,0.0,,0.0112501530429964
1999,139,Brazil Cuba,1,0,0,1,18.0,0.831615120274914,47.5296917744842,0.0103700774369849
2001,140,Brazil Guyana,1,0,0,1,18.0,0.657446124155677,51.1077060945154,0.0093924756703364
2002,141,Brazil Mexico ,5,0,0,1,18.0,0.998528173179852,51.7609698954234,0.0084593965833264
1993,142,Brazil Peru,2,0,0,1,18.0,0.976157082748948,40.5830994733322,0.0101955296036592
2005,143,Brazil Suriname,0,0,0,1,18.0,0.0,51.8450333124928,0.0076955811830175
1986,144,Brazil Uruguay,1,0,0,1,19.0,0.977443609022556,,0.011051939237809
2007,146,Brunei Japan,32,1,0,0,20.0,,55.9803930539815,0.0603554065426215
1995,147,Bulgaria Czech Republic,4,0,0,1,20.0,0.862745098039216,58.9322398795009,0.1003393091100097
1993,148,Bulgaria EC,49,1,0,0,20.0,1.0,63.3828229129775,0.0192534134539546
1993,149,Bulgaria EFTA,9,1,0,0,20.0,0.969557725445147,97.4921084132988,0.155560785731725
2001,150,Bulgaria Estonia,10,0,0,1,19.0,0.643417195063749,58.995432009065,0.1280884621704053
1974,151,Bulgaria Finland,2,1,0,0,20.0,0.971428571428571,,0.1731821174804638
2001,152,Bulgaria Israel,6,0,0,1,20.0,0.994530084535057,49.0559190191699,0.1280884621704053
2002,153,Bulgaria Latvia,7,0,0,1,19.0,0.880203342383733,53.6960837191292,1.2801580134375288
2001,154,Bulgaria Lithuania,9,0,0,1,20.0,0.903529538296355,49.9471134843422,0.1280884621704053
1999,155,Bulgaria Macedonia,8,0,0,1,18.0,,44.7137617747635,0.1209902022531149
2004,156,Bulgaria Moldova,8,0,0,1,19.0,0.971324184562656,51.8498766339332,1.6413445761956749
2003,157,Bulgaria Serbia,7,0,0,1,19.0,,51.3032834321721,0.1251472481468922
1995,158,Bulgaria Slovakia,4,0,0,1,18.0,0.979130434782609,59.0438404340818,0.1618691816406635
1996,159,Bulgaria Slovenia,4,0,0,1,20.0,0.0,42.9510773349017,0.1568319911098349
1998,160,Bulgaria Turkey,5,0,0,1,18.0,0.992606284658041,33.3965946690453,0.0296182467388316
1996,161,Canada Chile,76,1,0,0,20.0,0.934673366834171,42.6648517194042,0.0748132971215413
2008,162,Canada Colombia,90,1,0,0,20.0,0.993741607799638,51.4479910432356,
2001,163,Canada Costa Rica,48,1,0,0,20.0,0.998739769025531,52.104355550737,0.0707588993518409
2008,164,Canada EFTA,8,0,1,0,20.0,0.997457319288049,97.94710926624,
1996,165,Canada Israel,8,1,0,0,20.0,0.995755517826825,47.3419802415545,0.0748132971215413
2009,166,Canada Jordan,59,1,0,0,20.0,0.998963148572169,49.5263310842153,0.0041667965759558
1981,167,Canada New Zealand,2,0,1,0,20.0,1.0,,0.1411578595447721
2008,168,Canada Peru,88,1,0,0,20.0,0.959897187543417,51.6206241371822,
1988,169,Canada US,8,0,1,0,20.0,0.995842826351301,,0.0823546563377387
1965,170,Canada US Automotive Products Trade Agreement (APTA),2,0,1,0,20.0,0.983461962513782,,0.1253036050199437
1973,171,Caribbean Community (CARICOM),3,0,0,1,20.0,1.0,,2.9069635555649964
1994,172,Caribbean Community (CARICOM) Colombia,7,0,0,1,19.0,0.0,65.3657370144612,1.6223748112014698
2004,173,Caribbean Community (CARICOM) Costa Rica,10,0,0,1,20.0,0.956937799043062,65.3657370144612,1.561917345457518
2000,174,Caribbean Community (CARICOM) Cuba,8,0,0,1,20.0,,65.3657370144612,2.4883327419328816
1998,175,Caribbean Community (CARICOM) Dominican Republic,2,0,0,1,20.0,,65.3657370144612,2.492272989270321
1997,176,Caribbean Community (CARICOM) Protocol on Services,1,0,0,1,20.0,,65.3657370144612,2.4936305109676127
2001,177,Caribbean Community (CARICOM) revised ,52,0,0,1,20.0,1.0,65.3657370144612,2.485180581028129
1992,178,Caribbean Community (CARICOM) Venezuela,1,0,0,1,20.0,0.940639269406393,65.0946367674024,2.634004528670946
1965,179,Caribbean Free Trade Association (CARIFTA),3,0,0,1,12.0,,,
1968,180,Caribbean Free Trade Association (CARIFTA),1,0,0,1,20.0,1.0,,2.9001693741200043
2008,181,CARIFORUM EC EPA,84,1,0,0,20.0,0.999127932327549,77.1028552203436,0.0013699111845207
1964,182,Central African Customs and Economic Union (UDEAC),0,0,0,1,4.0,1.0,,0.5209982804222643
1999,183,Central America Chile,20,0,0,1,20.0,0.86527514231499,52.6537477031974,0.0835360049615494
1998,184,Central America Dominican Republic,24,0,0,1,20.0,,56.0434992540031,1.7945214673829613
2002,185,Central America Panama,28,0,0,1,20.0,0.999826252046625,52.7603799052106,1.6394976498377782
1960,186,Central American Common Market (CACM),0,0,0,1,9.0,,,1.1517564555904751
2004,187,Central American Free Trade Agreement (CAFTA),74,1,0,0,20.0,1.0,52.9863711427979,0.0441762339370532
2004,188,Central American Free Trade Agreement (CAFTA) Dominican Republic,90,1,0,0,20.0,0.99018295828975,57.582666564553,0.0441762339370532
1958,189,Central American Free Trade Area (CAFTA),0,0,0,1,20.0,,,1.1517564555904751
1991,190,Central American Integration System,4,0,0,1,20.0,,49.5166662844749,1.2290412357962792
1992,192,Central European Free Trade Agreement (CEFTA),4,0,0,1,20.0,1.0,62.5608880701685,0.0741793410800323
2006,193,Central European Free Trade Agreement (CEFTA),8,0,0,1,19.0,1.0,54.0666594119305,0.0038873000670858
2005,199,Chile China,30,0,0,1,19.0,0.986456197004418,49.6389390974517,0.0247524770124394
1993,200,Chile Colombia,1,0,0,1,19.0,0.820010875475802,43.6745075378417,0.1327754855361248
