Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2020","2020","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2021","2021","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2022","2022","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6602","Agriculture","2023","2023","1000 ha","38116","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2020","2020","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2021","2021","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2022","2022","1000 ha","38313","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6610","Agricultural land","2023","2023","1000 ha","38116","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2020","2020","1000 ha","8051","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2021","2021","1000 ha","8051","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2022","2022","1000 ha","8051","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6620","Cropland","2023","2023","1000 ha","8116","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2020","2020","1000 ha","7829","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2021","2021","1000 ha","7829","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2022","2022","1000 ha","7810","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6621","Arable land","2023","2023","1000 ha","7846","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2020","2020","1000 ha","3834","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2021","2021","1000 ha","2907","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2022","2022","1000 ha","2913","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6630","Temporary crops","2023","2023","1000 ha","3119","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2020","2020","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2021","2021","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2022","2022","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6633","Temporary meadows and pastures","2023","2023","1000 ha","0","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2020","2020","1000 ha","3995","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2021","2021","1000 ha","4922","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2022","2022","1000 ha","4897","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6640","Temporary fallow","2023","2023","1000 ha","4727","A","Official figure",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2020","2020","1000 ha","222","I","Value imputed by a receiving agency",""
"RL","Land Use","004","Afghanistan","5110","Area","6650","Permanent crops","2021","2021","1000 ha","270","A","Official figure",""
