Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.7167282,-1.7059035,-1.9646115,-2.0924592,-1.9339966
Afghanistan,AFG,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,17.960381,18.1708567,13.1405332,10.6546599,13.7358099
Afghanistan,AFG,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,9.5398701,9.7503458,5.1554594,2.6695862,5.7507361
Afghanistan,AFG,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.2640636,0.2640636,0.2504085,0.2504085,0.2504085
Afghanistan,AFG,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,7,7,8,8,8
Afghanistan,AFG,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,26.3808919,26.5913676,21.1256069,18.6397337,21.7208837
Afghanistan,AFG,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.3026506,-1.40994469999999,-1.4229756,-1.43056079999999,-1.538435
Afghanistan,AFG,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,34.3181413,32.6259609,32.4204451,32.3008157,30.5994864
Afghanistan,AFG,Regulatory Quality - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_LB,29.2911555,27.5989752,27.3934594,27.27383,25.5725006
Afghanistan,AFG,Regulatory Quality - Number of sources,GOV_WGI_RQ.SR,8,8,8,8,8
Afghanistan,AFG,Regulatory Quality - Standard error of the governance estimate,GOV_WGI_RQ.SE,0.1943538,0.1943538,0.1943538,0.1943538,0.1943538
Afghanistan,AFG,Regulatory Quality - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_UB,39.3451271,37.6529467,37.4474309,37.3278015,35.6264721
Zimbabwe,ZWE,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-1.1252829,-1.0994958,-1.09976269999999,-0.988479599999999,-0.9876299
Zimbabwe,ZWE,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,29.4604553,29.9618602,29.9566706,32.1204614,32.136983
Zimbabwe,ZWE,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,23.4097854,23.9111903,24.0737676,26.2375584,26.25408
Zimbabwe,ZWE,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.1897464,0.1897464,0.1844853,0.1844853,0.1844853
Zimbabwe,ZWE,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,11,11,12,12,12
Zimbabwe,ZWE,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,35.5111251,36.01253,35.8395735,38.0033644,38.0198859
Zimbabwe,ZWE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-1.3302143,-1.32535009999999,-1.3307719,-1.2277201,-1.1780738
Zimbabwe,ZWE,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,33.8834226,33.960138,33.8746285,35.4999018,36.2828944
Zimbabwe,ZWE,Regulatory Quality - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_LB,29.8768667,29.953582,29.8680725,31.4933458,32.2763385
Zimbabwe,ZWE,Regulatory Quality - Number of sources,GOV_WGI_RQ.SR,11,11,11,11,11
Zimbabwe,ZWE,Regulatory Quality - Standard error of the governance estimate,GOV_WGI_RQ.SE,0.1549018,0.1549018,0.1549018,0.1549018,0.1549018
Zimbabwe,ZWE,Regulatory Quality - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_UB,37.8899785,37.9666939,37.8811844,39.5064577,40.2894504
Zambia,ZMB,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.7343493,-0.7266708,-0.5899419,-0.5628206,-0.5330555
Zambia,ZMB,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,37.061776,37.2110769,39.8696364,40.3969835,40.9757367
Zambia,ZMB,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,31.0111062,31.1604071,33.9867334,34.3581161,35.0928337
Zambia,ZMB,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.1897464,0.1897464,0.1844853,0.1893763,0.1844853
Zambia,ZMB,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,11,11,12,11,12
Zambia,ZMB,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,43.1124459,43.2617468,45.7525394,46.4358509,46.8586397
Zambia,ZMB,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.6127925,-0.5122202,-0.45732,-0.465492099999999,-0.420661199999999
Zambia,ZMB,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,45.1981836,46.7843516,47.6502058,47.5213202,48.2283671
Zambia,ZMB,Regulatory Quality - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_LB,41.1916277,42.7777957,43.6436499,43.4336597,44.2218112
Zambia,ZMB,Regulatory Quality - Number of sources,GOV_WGI_RQ.SR,11,11,11,10,11
Zambia,ZMB,Regulatory Quality - Standard error of the governance estimate,GOV_WGI_RQ.SE,0.1549018,0.1549018,0.1549018,0.1580375,0.1549018
Zambia,ZMB,Regulatory Quality - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_UB,49.2047395,50.7909076,51.6567617,51.6089806,52.2349231
West Bank and Gaza,PSE,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.4497852,-0.6289954,-0.7155811,-1.04199169999999,-1.0985907
West Bank and Gaza,PSE,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,42.5948461,39.1102794,37.4267053,31.079971,29.9794589
West Bank and Gaza,PSE,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,32.3360022,28.8514355,27.9273468,21.6661429,20.5656308
West Bank and Gaza,PSE,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.3217129,0.3217129,0.2978958,0.2952136,0.2952136
West Bank and Gaza,PSE,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,4,4,5,6,6
West Bank and Gaza,PSE,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,52.8536899,49.3691232,46.9260638,40.4937992,39.3932871
West Bank and Gaza,PSE,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.1515086,-0.1524659,-0.1550172,-0.360597699999999,-0.4676244
West Bank and Gaza,PSE,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,52.473286,52.458188,52.4179504,49.1756539,47.4876908
West Bank and Gaza,PSE,Regulatory Quality - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_LB,43.9864149,43.9713169,43.9310793,40.7193777,39.0314146
West Bank and Gaza,PSE,Regulatory Quality - Number of sources,GOV_WGI_RQ.SR,2,2,2,3,3
West Bank and Gaza,PSE,Regulatory Quality - Standard error of the governance estimate,GOV_WGI_RQ.SE,0.3281202,0.3281202,0.3281202,0.3269373,0.3269373
West Bank and Gaza,PSE,Regulatory Quality - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_UB,60.9601571,60.9450592,60.9048215,57.63193,55.9439669
Viet Nam,VNM,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.0679668,0.0482402,-0.1033176,-0.1794045,-0.0922968
Viet Nam,VNM,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,52.6620263,52.2784619,49.331569,47.8521338,49.5458577
Viet Nam,VNM,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,45.0651233,44.6253404,42.0097522,40.5696989,42.2634228
Viet Nam,VNM,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.2382356,0.2399986,0.229609,0.228374,0.228374
Viet Nam,VNM,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,9,8,9,10,10
Viet Nam,VNM,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,60.2589294,59.9315835,56.6533859,55.1345688,56.8282926
Viet Nam,VNM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.235853099999999,-0.3447202,-0.347202499999999,-0.2794316,-0.2668063
Viet Nam,VNM,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,51.1430534,49.4260646,49.3869152,50.4557586,50.6548775
Viet Nam,VNM,Regulatory Quality - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_LB,45.9953989,44.2191947,44.1800453,45.255978,45.4550969
Viet Nam,VNM,Regulatory Quality - Number of sources,GOV_WGI_RQ.SR,9,8,8,9,9
Viet Nam,VNM,Regulatory Quality - Standard error of the governance estimate,GOV_WGI_RQ.SE,0.1990191,0.2013085,0.2013085,0.2010344,0.2010344
Viet Nam,VNM,Regulatory Quality - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_UB,56.2907079,54.6329345,54.5937851,55.6555392,55.8546581
Vanuatu,VUT,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.757826,-0.8022922,-0.802548399999999,-0.8432371,-0.8168523
Vanuatu,VUT,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,36.6052946,35.7406929,35.7357114,34.9445595,35.457586
Vanuatu,VUT,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,25.777999,24.9133973,24.9084157,25.0972813,25.6103079
Vanuatu,VUT,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.3395393,0.3395393,0.3395393,0.3088064,0.3088064
Vanuatu,VUT,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,4,4,4,6,6
Vanuatu,VUT,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,47.4325902,46.5679885,46.563007,44.7918376,45.3048642
Vanuatu,VUT,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.421942999999999,-0.4321259,-0.4178727,-0.410014799999999,-0.324751499999999
Vanuatu,VUT,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,48.2081513,48.0475525,48.2723457,48.396276,49.7409994
Vanuatu,VUT,Regulatory Quality - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_LB,40.9713955,40.8107967,41.03559,41.1785185,42.5232418
Vanuatu,VUT,Regulatory Quality - Number of sources,GOV_WGI_RQ.SR,5,5,5,6,6
Vanuatu,VUT,Regulatory Quality - Standard error of the governance estimate,GOV_WGI_RQ.SE,0.2797881,0.2797881,0.2797881,0.2790536,0.2790536
Vanuatu,VUT,Regulatory Quality - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_UB,55.4449071,55.2843083,55.5091015,55.6140335,56.9587569
Uruguay,URY,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.7691696,0.8270962,0.8993588,0.8539851,0.6904799
Uruguay,URY,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,66.2962276,67.4225536,68.827629,67.9453819,64.7661835
Uruguay,URY,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,58.6629526,59.7892785,61.523199,60.3357586,57.2007409
Uruguay,URY,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.2393762,0.2393762,0.2290638,0.2386345,0.237249
Uruguay,URY,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,8,8,9,8,9
Uruguay,URY,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,73.9295027,75.0558286,76.132059,75.5550052,72.3316262
Uruguay,URY,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.6994509,0.7331802,0.7251419,0.737625,0.6468484
Uruguay,URY,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,65.8941262,66.4260852,66.2993098,66.496186,65.0645101
Uruguay,URY,Regulatory Quality - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_LB,60.6872564,61.2192154,61.0924399,61.1074575,59.6836404
Uruguay,URY,Regulatory Quality - Number of sources,GOV_WGI_RQ.SR,8,8,8,7,8
Uruguay,URY,Regulatory Quality - Standard error of the governance estimate,GOV_WGI_RQ.SE,0.2013085,0.2013085,0.2013085,0.2083395,0.2080357
Uruguay,URY,Regulatory Quality - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_UB,71.1009961,71.6329551,71.5061797,71.8849146,70.4453797
United Kingdom,GBR,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.3728014,1.3289695,1.2932604,1.1378943,1.1849099
United Kingdom,GBR,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,78.0332564,77.1809881,76.4866596,73.4657181,74.3798903
United Kingdom,GBR,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,70.5918141,69.7395458,69.0347234,66.0137818,66.9694593
United Kingdom,GBR,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.2333604,0.2333604,0.2336895,0.2336895,0.2323879
United Kingdom,GBR,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,8,8,8,8,9
United Kingdom,GBR,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,85.4746987,84.6224304,83.9385959,80.9176543,81.7903214
United Kingdom,GBR,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.6013639,1.600758,1.6491931,1.5889865,1.5112377
United Kingdom,GBR,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,80.1185755,80.1090196,80.87291,79.9233664,78.6971573
United Kingdom,GBR,Regulatory Quality - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_LB,74.5228203,74.5132644,75.2771547,74.3276111,73.110201
United Kingdom,GBR,Regulatory Quality - Number of sources,GOV_WGI_RQ.SR,7,7,7,7,8
United Kingdom,GBR,Regulatory Quality - Standard error of the governance estimate,GOV_WGI_RQ.SE,0.2163436,0.2163436,0.2163436,0.2163436,0.2160034
United Kingdom,GBR,Regulatory Quality - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_UB,85.7143308,85.7047749,86.4686652,85.5191216,84.2841137
Tuvalu,TUV,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.571291099999999,-0.4276442,-0.4080989,-0.5905787,-0.6909856
Tuvalu,TUV,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,40.2322829,43.0253561,43.4053953,39.8572544,37.9049407
Tuvalu,TUV,Government Effectiveness - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_LB,28.3283505,31.1214237,31.5014629,29.0971418,27.144828
Tuvalu,TUV,Government Effectiveness - Standard error of the governance estimate,GOV_WGI_GE.SE,0.3733022,0.3733022,0.3733022,0.3374325,0.3374325
Tuvalu,TUV,Government Effectiveness - Number of sources,GOV_WGI_GE.SR,3,3,3,4,4
Tuvalu,TUV,Government Effectiveness - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_GE.SC_UB,52.1362153,54.9292885,55.3093277,50.6173671,48.6650533
Tuvalu,TUV,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.6850119,-0.5930428,-0.573895199999999,-0.6665338,-0.4022096
Tuvalu,TUV,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ.SC,44.0591811,45.5096644,45.8116493,44.3506069,48.5193751
Tuvalu,TUV,Regulatory Quality - Lower bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_LB,35.6714506,37.121934,37.4239189,35.9628765,40.1316447
Tuvalu,TUV,Regulatory Quality - Number of sources,GOV_WGI_RQ.SR,3,3,3,3,3
Tuvalu,TUV,Regulatory Quality - Standard error of the governance estimate,GOV_WGI_RQ.SE,0.3242872,0.3242872,0.3242872,0.3242872,0.3242872
Tuvalu,TUV,Regulatory Quality - Upper bound of the 90% confidence interval for the governance score,GOV_WGI_RQ.SC_UB,52.4469115,53.8973948,54.1993797,52.7383374,56.9071055
Cuba,CUB,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.1099187,-0.0976359,0.0198019,-0.00189249999999999,-0.2695183
